id,claim
150203,Moeldoko Duga Ada Miskomunikasi Pusat-Pemda Bali soal Corona
150204,JK Anggap Lockdown Efektif Cegah Penyebaran Corona
150205,Tambah 114 Kasus Korsel Waspadai Corona Merebak di Seoul
150206,RS Unair Surabaya Isolasi Dua ODP Virus Corona
150207,WNA Positif Corona Disebut Kontak dengan 21 Orang di Bali
150208,Canda Wapres Sebut Susu Kuda Liar Bisa Tangkal Virus Corona
150209,Anies dan Ridwan Kamil Minta Pusat Izinkan Pemda Tes Corona
150210,Polandia Catat Kematian Pertama karena Virus Corona
150211,China Klaim Berhasil Tangani Corona Meski Dikritik AS
150212,Pandemi Corona Pemerintah Kumpulkan Perguruan Tinggi
150213,PT KCI Respons Anies soal Risiko Tinggi Corona di KRL
150214,Jubir Corona: Dokter Tak Wajib Lapor ke Pemda
150215,Awas Gejala Resesi Virus Corona 'Infeksi' Ekonomi RI
150216,7 Imported Case Baru Corona Total 20 Tertular di Luar Negeri
150217,67 Orang Dipantau Terkait Corona di Sumsel 54 Sudah Sehat
150218,Tutupi Pelacakan Kontak Corona Pemerintah Takut Target Kabur
150219,Pasien Corona Meninggal Virus Memperparah Penyakit Bawaan
150220,Pakar: Corona Harus Ditakuti Bisa Jadi Senjata Biologi
150221,Putra Tom Hanks Buka Suara soal Orang Tua yang Positif Corona
150222,Hoaks Corona Jadi 179 Satu Soal Cegah Virus Pakai Vodka
150223,Perawat Corona Berjas Hujan Pemkot Tasikmalaya Minta Bantuan
150224,Nadiem Terbitkan Surat Edaran Cegah Corona di Sekolah
150225,Menkes Inggris Positif Corona hingga Kasus Covid-19 di AS
150226,Satgas IDI Minta Pemerintah Tak Monopoli Tes Spesimen Corona
150227,Pemerintah Beri Pendampingan Psikologis Pasien Corona 01
150228,Pemerintah Pantau 12 PDP Virus Corona
150229,Ma'ruf Perkenalkan Salaman Corona Alternatif Jabat Tangan
150230,RSPI Sulianti Akan Pulangkan Dua Pasien Corona yang Sembuh
150231,Menteri Kesehatan Inggris Positif Terinfeksi Virus Corona
150232,Pasien Corona Diisolasi di RSPI Bertambah Jadi 10 Orang
150233,4 WNI di Singapura Positif Corona Satu dari Jakarta
150234,Petugas Corona Pakai Jas Hujan Pemprov-Pemda Miskoordinasi
150235,5 Pasien Positif Corona Diisolasi di RSUP Persahabatan
150236,Virus Corona Pemerintah Kaji Gratiskan Iuran BP Jamsostek
150237,Jubir Corona: Pasien Positif Lupa Kontak dengan Siapa Saja
150238,Turki Umumkan Kasus Pertama Virus Corona
150239,Alasan Pemerintah Tak Sebut Negara Asal WNA Positif Corona
150240,Cegah Corona Jokowi Suguhi Tamu Minuman Empon-empon
150241,GP Ansor: Virus Corona Tak Ada Urusan dengan Azab
150242,Kasus Virus Corona Turun China Tutup 11 RS Darurat
150243,Sempat Tes Corona Mbappe Diragukan Tampil di Liga Champions
150244,OJK Longgarkan Kualitas Kredit Antisipasi Dampak Virus Corona
150245,Hoaks Virus Corona di Indonesia Bertambah Total Jadi 187
150246,Tempat Fitnes Sempat Tutup Member Diisolasi karena Corona
150247,Jubir: 9 ABK Diamond Princess di Jepang Sembuh dari Corona
150248,6 Situs Buat Pantau Penyebaran Virus Corona
150249,Pemerintah Golongkan Wabah Corona sebagai Bencana Nonalam
150250,Merasa Sehat Trump Siap Jalani Tes Virus Corona
150251,Rugani Positif Virus Corona Pemain Inter dan Juve Diisolasi
150252,Formula E Jelaskan Penundaan Seri Jakarta karena Virus Corona
150253,Sri Mulyani Keluarkan Jurus 2008 Redam Dampak Virus Corona
150254,Eijkman Tawarkan Bantuan Alat Modern Tes Spesimen Corona
150255,Liga Inggris Bakal Tanpa Penonton untuk Cegah Virus Corona
150256,Kontak dengan Positif Corona Pemain Arsenal Jalani Isolasi
150257,Bill Gates Buat Alat Deteksi Corona Tanpa Perlu Keluar Rumah
150258,Beda Indonesia Singapura Hingga WHO Hadapi Virus Corona
150259,Korban Meninggal akibat Corona 4.009 Orang 62.841 Sembuh
150260,4.900 Karyawan Twitter di Dunia 'Dirumahkan' Akibat Corona
150261,Corona Stok Obat Generik Diprediksi Hanya Cukup Sampai April
150262,Menkes: Tiga Pasien Positif Dinyatakan Sembuh
150263,Corona Merebak IDI Minta Ruang Isolasi Terus Ditambah
150264,Ikuti Aturan Soal Corona Tzuyu TWICE Karantina Diri Sendiri
150265,Jurus Taiwan Kendalikan Stok Masker di Tengah Wabah Corona
150266,Valentino Rossi 'Terkurung' di Tavullia karena Virus Corona
150267,Redam Penyebaran Corona Trump Setop Perjalanan dari Eropa
150268,Muhammadiyah Tak Masalah Alkohol Jadi Antiseptik Cegah Corona
150269,Liverpool Tersingkir Hingga Rugani Positif Virus Corona
150270,PBNU Tunda Munas Alim Ulama karena Corona
150271,Italia Larang Upacara Pemakaman Selama Isolasi Corona
150272,Semua Pasien Corona RSPI Tak Punya Penyakit Bawaan Signifikan
150273,145 Tewas Akibat Corona Iran Sindir 'Medical Terrorism' AS
150274,Jenderal Militer Polandia Positif Corona Usai dari Jerman
150275,RSPI Akan Pulangkan Satu Pasien Negatif Corona
150276,Cara Tiga Negara Kendalikan Masker Gara-gara Corona
150277,Pasien Positif Virus Corona Bertambah Jadi 6 Orang
150278,Youtube Hapus Konten Obat Tradisional Bisa Sembuhkan Corona
150279,Arab Saudi Larang Shisha Khawatir Tularkan Virus Corona
150280,Hotel Karantina Corona di China Roboh Korban Tewas Jadi 26
150281,Cegah Corona Kapal Pesiar MV Columbus Ditolak di Surabaya
150282,Jumlah Korban Melonjak Italia Kedua Terbanyak Kasus Corona
150283,Pasien Corona Meningkat RSPI Akan Tambah Alat Pelindung Diri
150284,Pemerintah soal WNI Corona di Singapura: Biar Dirawat di Sana
150285,Hal-hal yang Dilarang di Liverpool vs Atletico Terkait Corona
150286,Mongolia Tutup Ibu Kota Gara-gara Virus Corona
150287,Virus Corona Italia Lapor Korban Meninggal Tambah 168 Orang
150288,RSUP Persahabatan Klaim Dua Pasien Positif Corona Membaik
150289,Virus Corona Bikin Dana Asing Keluar Rp4016 Triliun
150290,Pemain Kontak dengan Positif Corona City vs Arsenal Ditunda
150291,Lansia Jadi Korban Meninggal Pertama Virus Corona di Belgia
150292,Ahli China: Penyebaran Virus Corona Melambat di Musim Panas
150293,Wabah Virus Corona Kunjungan Wisman ke Pontianak Anjlok
150294,Tiga Menteri Diisolasi Presiden Duterte Dites Virus Corona
150295,7 Pasien Positif Corona di RI Baru Pulang dari Luar Negeri
150296,Warga Depok: Kami Sudah Tak Takut Lagi Virus Corona
150297,Deteksi Satu Kasus Corona Ukraina Liburkan Semua Sekolah
150298,Cegah Corona Italia Tutup Semua Toko Kecuali Apotek
150299,Virus Corona Hantam Bisnis Multifinance
150300,Jokowi Umumkan Dua WNI Positif Corona di Indonesia
150301,Satu Pasien Suspect Corona RS Sulianti Saroso Meninggal
150302,Cegah Corona Saudi Larang Khotbah Jumat Lebih dari 15 Menit
150303,Donald Trump akan Umumkan Langkah AS Tanggapi Virus Corona
150304,Takut Corona Pemimpin Iran Absen Pidato Tahun Baru Persia
150305,China dan Korsel Laporkan Penurunan Korban Virus Corona
150306,Korban Hotel Tempat Karantina Corona Roboh di China Bertambah
150307,Corona Ekonom Minta Sri Mulyani Bebaskan Pajak Penghasilan
150308,Marinakis 'Penguasa Laut' Pemilik Olympiakos Positif Corona
150309,Mahfud: RI Satu-satunya Negara Besar di Asia Tak Kena Corona
150310,RSPI Isolasi Dua Pasien Baru Positif Corona
150311,Identitas Tersebar Pasien Corona Disebut Tertekan
150312,Seluruh Pasien Virus Corona di Vietnam Dinyatakan Sembuh
150313,WNI Paparkan Kondisi Italia Usai Isolasi Kota Terkait Corona
150314,Cegah Corona DPR Minta Nadiem Liburkan Sekolah
150315,Pasien Corona dalam Angka Pemerintah Pusat dan Pemprov DKI
150316,Daftar 17 Hoaks Virus Corona Terbaru Bertambah Jadi 36
150317,Pemerintah Umumkan Dua Kasus Baru Positif Corona
150318,Peneliti di Indonesia Belum Dilibatkan Deteksi Corona
150319,Daftar 19 Hoaks Virus Corona
150320,Covid-19 Nama Baru Wabah Virus Corona
150321,Kemenkes Tak Periksa Tenggorokan WNI Karantina Corona
150322,Jokowi: Kita Sudah Waspada dan Siaga Hadapi Virus Corona
150323,Cegah Virus Corona 109 WNA Ditangkal Masuk Indonesia
150324,Korban Meninggal Virus Corona Capai 1.107 Orang
150325,Korban Meninggal Virus Corona Tembus 1.115 Orang
150326,Kronologi 2 Warga Depok Positif Virus Corona di Indonesia
150327,Ada 19 Hoaks Virus Corona Netizen Diminta Bijak Bermedsos
150328,LIPI Respons soal Virus Corona Hanya Jangkiti Warga China
150329,Virus Corona dan Kegagapan Pemerintah
150330,Indonesia dan Deretan Negara Asia yang Belum Terpapar Corona
150331,Menkes Bantah Hoaks Virus Corona Sampai ke Indonesia
150332,Warga Maluku Suspect Corona Pernah Dikarantina di Malaysia
150333,Kemenkes Bantah Pasien Jambi Kena Corona: Hanya Influenza
150334,Wabah Corona: Tewas 259 Terinfeksi Nyaris 12 Ribu Orang
150335,Kemenkes Duga WN China di Bali Terjangkit Corona di Shanghai
150336,Direktur RS Wuhan Meninggal Usai Terinfeksi Virus Corona
150337,Anies Sebut Risiko Kontaminasi Corona di KRL Tinggi
150338,Belum Ada Langkah Amankan Ekonomi dari Infeksi Virus Corona
150339,Bos DFSK Berhenti Kunjungi Indonesia Dampak Virus Corona
150340,Bertambah 35 Total 69 Orang Positif Virus Corona dan 3 Meninggal Dunia
150341,2 Balita Positif Corona Ditemukan dari Hasil Tracing
150342,Update Virus Corona Hari Ini: 128.343 Orang di Dunia Terinfeksi 68.324 Pasien Sembuh
150343,Pasien Positif Covid-19 di RSUP Persahabatan Kabur Sejak Minggu Lalu
150344,Total 5 Pasien Positif Corona Covid-19 di Indonesia Dinyatakan Sembuh
150345,Satu Pasien Positif Covid-19 Kabur dari RSUP Persahabatan
150346,Cristiano Ronaldo Dikarantina Rekan Satu Timnya Terpapar Virus Corona
150347,Ada 2 Balita dari 35 Kasus Baru Positif Virus Corona COVID-19 di Indonesia
150348,Jumlah Pasien Sembuh Virus Corona COVID-19 di Italia Kalahkan yang Meninggal
150349,Per 13 Maret 2020 5 Pasien Positif Virus Corona di Indonesia Sembuh
151024,Malaysia Gelar Shalat Hajat Minta Dilindungi dari Corona
151025,Menko Airlangga: Tanpa Vaksin Corona Kita Tunggu Nasib
