id,label,claim
150373,1,Aktor Tom Hanks Positif Terjangkit Virus Corona
150374,1,Iran Berhasil Temukan Obat Virus Corona Ini 4 1nya
150375,1,Cek Bedanya Tanda-Tanda Orang Kena DBD dan Virus Corona
150376,1,1 Pasien Terkait Corona di RSPI Sulianti Saroso Meninggal Dunia
150377,1,Polisi Tangkap Penyebar Hoaks Virus Corona di Lampung
150378,1,Efek Virus Corona Manchester United Dukung Penangguhan Premier League
150379,1,Menkes: Soal Corona Indonesia Tak Perlu Lockdown
150380,1,Kasus Virus Corona Mencapai 45 Arab Saudi Setop Kedatangan WNA Termasuk Indonesia
150381,1,Alasan Pemerintah Rahasiakan Rumah Sakit yang Isolasi Pasien Positif Corona
150382,1,Rugani Positif Terkena Virus Corona Semua Pemain Juventus Akan Dikarantina
150383,1,Tom Hanks Positif Virus Corona Warganet Tak Terima
150384,1,INFOGRAFIS: Corona Bikin Italia Lockdown
150385,1,Mikel Arteta Kena Virus Corona Legenda MU Sebut Operator Liga Inggris Memalukan
150386,1,Juventus Galang Dana Usai Daniele Rugani Terpapar Virus Corona
150387,1,Cegah Penyebaran Corona Izin Keramaian di Bogor Ditiadakan
150388,1,Arteta Kena Virus Corona Liga Inggris Rapat Darurat
150389,1,Kata Pengamat Soal Serangan DDoS ke Situs Pemantauan Virus Corona Pemprov Jakarta
150390,1,Mikel Arteta Terkena Virus Corona Laga Arsenal Ditunda
150391,1,Kemendikbud Keluarkan 2 Surat Edaran Pencegahan Virus Corona Ini Isinya
150392,1,Cegah Virus Corona Pusat Perbelanjaan di Tangerang Disemprot Disinfektan
150393,1,Sudah Sembuh dari Corona Pasien Kasus 6 Belum Mau Pulang
150394,1,Manolo Gabbiadini Positif Virus Corona Leicester City Isolasi 3 Pemain dengan Gejala
150395,1,WHO Tetapkan Pandemi Isyarat Corona Serang Siapa pun dan Negara Mana pun
150396,1,Pemprov DKI: Potensi Sebaran Corona Bukan di Permukiman Padat Penduduk
150397,1,Pasien Corona 01 dan 03 Sembuh Dipulangkan Sore Ini
150398,1,Kunci Penyintas Virus Corona COVID-19 di AS Bisa Sembuh Tanpa Dirawat di RS
150399,1,Terinfeksi Virus Corona Bek Juventus Daniele Rugani Unggah Pesan di Media Sosialnya
150400,1,Cegah Virus Corona Menteri Agama Minta Semua Masjid Gulung Karpet
150401,1,Dikarantina karena Virus Corona Wanita Ini Terjebak Bersama Mayat Suami
150402,1,Misteri Penularan Covid-19 ke Pasien 27 Terpecahkan
150403,1,Mudik Lebaran Bakal Dipadati Kendaraan Pribadi jika Corona Tak Kunjung Usai
150404,1,Virus Corona Bikin BTS dan 6 Artis Dunia Ini Batalkan Konser
150405,1,Wapres Ma'ruf Amin Perkenalkan Salaman Corona
150406,1,Bek Manchester City Diisolasi karena Virus Corona
150407,1,Termasuk Daniele Rugani 4 Pesepak Bola Positif Virus Corona
150408,1,Terinfeksi Virus Corona Pemain Juventus Daniele Rugani Buka Suara
150409,1,Apa yang Berubah Setelah WHO Naikkan Status Virus Corona Jadi Pandemi?
150410,1,Tengok Gaya Salaman Corona Ala Ma'ruf Amin JK dan Sri Mulyani
150411,1,Ini Daftar Negara yang Masih Bebas dari Laporan Virus Corona COVID-19
150412,1,Dicari Relawan untuk Diinfeksi Virus Corona Bakal Dapat Imbalan Rp 65 Juta
150413,1,Termakan Hoaks Virus Corona Puluhan Orang di Iran Meninggal Keracunan Alkohol
150414,1,5 Artis Ini Dikarantina Akibat Corona Terbaru Asmara Abigail
150415,1,Pasien Positif Virus Corona Bertambah Jadi 34 Orang
150416,1,Pasien Gagal Ginjal yang Terkena Corona Sulit untuk Sembuh
150417,1,Tambah 7 Total 34 Pasien Positif Virus Corona di Indonesia
150418,1,Semua Pasien Positif Corona di RSPI Sulianti Saroso Tak Punya Penyakit Bawaan
150419,1,Ronaldo Dapat Izin Khusus Masuk Italia yang Sedang Dikarantina karena Virus Corona
150420,1,Virus Corona Merebak Mantan Menkes Nila Moeloek: Waktu Tepat Menakuti Para Perokok
150421,1,Resep Makanan Jepang Berusia 1.000 Tahun Populer Lagi Berkat Corona
150422,1,Harga Emas Rontok 4 Persen Dampak Kepanikan Virus Corona
150423,1,Aman 20 Negara dan Wilayah Ini Belum Terjamah Virus Corona COVID-19
150424,1,WHO Resmi Umumkan Virus Corona sebagai Pandemi
150425,1,Antisipasi Virus Corona Panpel Persib Akan Periksa Suhu Tubuh dan Sediakan Hand Sanitizer
150426,1,Kasus Virus Corona COVID-19 di Jerman Bertambah Ini Imbauan KBRI Berlin ke WNI
150427,1,Lantaran Pandemi Virus Corona FAM Putuskan Liga Malaysia Tanpa Penonton
150428,1,Update Virus Corona: 119.044 Orang di Dunia Terinfeksi 65.762 Pasien Sembuh
150429,1,Tom Hanks Diisolasi Akibat Virus Corona Begini Respons Pihak Warner Bros
150430,1,Australia Sebut Kemampuan Indonesia Tangani Virus Corona di Bawah Standar
150431,1,Virus Corona Bikin Start MotoGP 2020 Kembali Tertunda Batal Dimulai di Austin
150432,1,Kisah Perawat Italia Hadapi Virus Corona hingga Wajah Memar
150433,1,Tom Hanks dan Istri Diisolasi Usai Positif Virus Corona
150434,1,Virus Corona ATP Tunda Turnamen Tenis hingga 6 Pekan
150435,1,Jokowi: Karena Ada Corona Saya Minum Jamu 3 Kali Sehari
150436,1,4 Pejabat Negara di Dunia Masuk Daftar Pasien Positif Virus Corona
150437,1,Foto Udara Lokasi di Dunia yang Sepi Akibat Virus Corona Termasuk Kabah
150438,1,27 Orang Positif Corona di Indonesia Ada 1 Kasus Local Transmission
150439,1,Jokowi: Virus Corona Tidak Mengenal Batas Negara
150440,1,Valentino Rossi Sumbang Dana untuk Berantas Virus Corona di Italia
150441,1,Berita Terkini Virus Corona di Indonesia
150442,1,Situs Pemantauan Virus Corona DKI Jakarta Sempat Kena Serangan DDoS Warganet Murka
150443,1,China Tak Terima Virus Corona Disebut Berasal dari Negaranya
150444,1,Liga Inggris Bekukan Jadwal Hingga 3 April Akibat Virus Corona
150445,1,Redam Dampak Corona Pemerintah Buka Opsi Bebaskan Iuran BPJS Ketenagakerjaan
150446,1,Tangkis Penyebaran Virus Corona Samsung Buka Layanan Gratis Bersih-Bersih Smartphone
150447,1,Marak Virus Corona GrabFood Hapus Menu Daging Ular di Daftar Pesanan
150448,1,Waspada Virus Corona Sekolah Indonesia Kuala Lumpur Terapkan Pengecekan Suhu
150449,1,Kompetisi IBL 2020 Dihentikan karena Virus Corona
150450,1,Maldives Bangun Resor Mewah untuk Karantina Pasien Corona
150451,1,Sri Mulyani Tambah Anggaran Kemenkes Rp 1 Triliun untuk Tangani Virus Corona
150452,1,IHSG Tumbang Jokowi Sebut Corona Turut Guncang Pasar Keuangan Global
150453,1,Antisipasi Corona Sekolah Pelita Harapan Liburkan Siswa hingga 6 April
150454,1,Soal Penanganan Virus Corona Kemenpora Serahkan ke Cabor Masing-masing
150455,1,Istana Keluarkan 5 Protokol Utama Penanganan Virus Corona
150456,1,Begini Kondisi 7 Pasien Baru Positif Corona
150457,1,Awak Kabin Cathay Pacific Positif Corona Usai Kembali dari Madrid
150458,1,Wabah Virus Corona Meluas Formula E Tangguhkan Balapan Hingga Juni
150459,1,Stok iPad Turun Drastis Gara-Gara Virus Corona
150460,1,Rugani Positif Virus Corona Inter Milan Isolasi Pemain dan Tunda Laga
150461,1,6 Gambaran Kondisi Ekonomi Global Amburadul Terimbas Wabah Virus Corona
150462,1,Imbauan Pemerintah Saat 1 Kasus Positif Virus Corona Diketahui Penularan Lokal
150463,1,Cegah Penyebaran Virus Corona Baru Pemerintah Sediakan Dua Pintu Berbeda di Bandara Soetta
150464,1,Pemain Tunjukkan Gejala Terjangkit Virus Corona Everton Dikarantina
150465,1,Top 3 News: Bertambah Jadi 27 Orang 5 Pasien Positif Corona Didapat dari Luar Negeri
150466,1,Bukan China Biang Virus Wuhan dalam Novel Peramal Wabah Corona Ternyata...
150467,1,Mendagri Australia Peter Dutton Akui Positif Virus Corona COVID-19
150468,1,Starting XI Terbaik Tim Serie A Musim Ini di Tengah Pandemi Corona
150469,1,RSUD Moewardi Isolasi Dua Warga Solo Terinfeksi Corona?
150470,1,Virus Corona Picu Arab Saudi Batalkan Perjalanan Internasional Nasib Jemaah Haji?
150471,1,Cegah Virus Corona COVID-19 Hamas Isolasi Warga Palestina di Jalur Gaza
150472,1,Virus Corona Meluas UEFA Resmi Batalkan Liga Champions dan Liga Europa Pekan Depan
150473,1,Ada Kepala Daerah Cari Panggung di Tengah Isu Corona Siapa Dia?
150474,1,Sumber Corona Pasien Nomor 27 Misterius Pemerintah Masih Telusuri
150475,1,Cegah Virus Corona Ini 7 Lagu Favorit Cara Mencuci Tangan Versi Netizen
150476,1,Respons Taiwan Menangani Pasien Virus Corona Disorot Jurnal Medis Internasional
150477,1,Pasien Nomor 25 Positif Virus Corona di Indonesia yang Meninggal Mengidap Diabetes dan Hipertensi
150478,1,Model Jepang Ubah Bra Tak Terpakai Jadi Masker untuk Perlindungan dari Virus Corona
150479,1,Bukan Virus Corona Flu Spanyol Merupakan Pandemi Paling Mematikan dalam Sejarah
150480,1,1 Turis di Bali Positif Corona Meninggal Dunia 21 Orang Diisolasi
150481,1,Pasien Corona Imported Case Lolos Pemeriksaan di Bandara Ini Penyebabnya
150482,1,Pertama Kalinya Usai Virus Corona Mewabah Presiden Tiongkok Xi Jinping Kunjungi Wuhan
150483,1,Corona Berpotensi Besar Menyebar di KRL Ini Kata PT Kereta Commuter Indonesia
150484,1,Cegah Penularan Corona PT KCI Minta Penumpang KRL Lakukan 4 Hal Ini
150485,1,4 1 1 WNA Positif Corona di Indonesia Meninggal Dunia
150486,1,Turki Laporkan Kasus Pertama Positif Virus Corona COVID-19
150487,1,Kasus Virus Corona di AS Bertambah Diskusi soal COVID-19 Batal
150488,1,Anies Sebut Corona Berpotensi Menyebar Lewat KRL Ini Penjelasannya
150489,1,Asmara Abigail Terjebak di Italia karena Virus Corona Kapan Bisa Balik ke Indonesia?
150490,1,Pemilik Olimpiakos Terjangkit Virus Corona Pemain Arsenal Dikarantina 14 Hari
150491,1,Nokia Bantah Ada Karyawan di Indonesia Meninggal karena Virus Corona
150492,1,Dampak Lain Saat Orang Sehat Pakai Masker untuk Cegah Virus Corona
150493,1,MU Tanding Tanpa Penonton di Liga Europa Akibat Virus Corona
150494,1,1 Anggotanya Suspect Virus Corona Manajemen F45 Senopati North Angkat Bicara
150495,1,6 Kasus Baru Virus Corona di Singapura Pasien Sembuh Masih 93
150496,1,Total 19 Orang Positif Virus Corona di Indonesia Ada Pasutri dan 2 WNA
150497,1,Penularan Corona ke Pasien 27 Masih Tanda Tanya Keluarga Dipastikan Negatif
150498,1,Jepang Tegaskan Warga Negaranya di Indonesia Bukan Penyebar Virus Corona
150499,1,Kedubes Singapura: WNA yang Positif Virus Corona Harus Bayar Biaya RS Sendiri
150500,1,Jumlah Pasien Merosot China Mulai Tutup RS Darurat Virus Corona di Wuhan
150501,1,Jumlah Pasien Suspect Corona di Indonesia Bertambah Jadi 23 Orang
150502,1,Top 3: Australia Ragukan Kemampuan Indonesia Tangani Virus Corona Jadi Sorotan
150503,1,Sebelum Dikarantina Virus Corona Anggota DPR AS Sempat Jabat Tangan Donald Trump
150504,1,PODCAST News: Virus Corona Masuk Indonesia Jangan Panik
150505,1,Cegah Corona Simak Cara Bersalaman Pangeran Harry dan Meghan Markle di Commonwealth Day
150506,1,4 1 soal 2 Pasien Baru Virus Corona
150507,1,Suami Sampai Kunci Istri di Kamar Mandi karena Takut Terjangkit Virus Corona
150508,1,Imbas Virus Corona Sekolah se-Jabar Diminta Tunda Kegiatan Massal
150509,1,19 Orang Terkonfirmasi Positif Corona 2 di Antaranya WNA
150510,1,Pasien Positif Virus Corona di Indonesia Bertambah Jadi 6 Orang
150511,1,Gagal Konser karena Corona Member Girlband Twice Tzuyu Dikarantina di Taiwan
150512,1,44 Pasien dalam Pengawasan Virus Corona di Jakarta Dipulangkan
150513,1,Pariwisata Bali Terancam Ambruk Gara-Gara Virus Corona
150514,1,Positif Virus Corona Kondisi Kasus 5 dan 6 Tidak Batuk-Pilek
150515,1,Pasien dalam Pengawasan Terkait Corona di Jakarta Bertambah Jadi 56 Orang
150516,1,WHO: Jangan Menyerah Mayoritas Pasien Virus Corona Akan Sembuh
150517,1,Kabar Baik Pasien Kasus 06 dan 14 di Indonesia Sudah Negatif Corona
150518,1,200 Tentaranya Dikabarkan Meninggal karena Virus Corona Apa Kata Pemerintah Korut?
150519,1,Cegah Virus Corona WNI di Arab Saudi Diimbau Tak ke Makkah Madinah dan Qatif
150520,1,Pasien Positif Corona di Indonesia yang Meninggal Juga Idap Penyakit Paru Menahun
150521,1,Daniel Radcliffe 'Harry Potter' Dikabarkan Positif Corona Ini 6 Potret Terbarunya
150522,1,Update Virus Corona: 110.041 Orang di Dunia Terinfeksi 61.979 Sembuh
150523,1,Kasus Virus Corona di Inggris Tembus 209 Orang
150524,1,Belum Positif Corona Pasien RSPI Sulianti Saroso yang Meninggal Kena Pneumonia
150525,1,Bahan Baku Impor dari China Industri Farmasi Kena Dampak Wabah Corona
150526,1,Kasus Virus Corona Tembus 7.161 Kondisi di Iran Relatif Kondusif
150527,1,Top 3 News: 1 Pasien Positif Corona Bertambah Jadi 6 Orang
150528,1,Menteri Kesehatan Inggris Nadine Dorries Positif Virus Corona
150529,1,WNA Positif Corona yang Meninggal Dunia Tiba di Indonesia 4 Hari Lalu
150530,1,Pasien Positif Corona di Indonesia Bertambah 2 Jadi 4 Orang
150531,1,Indonesia Positif Virus Corona Warganet Saling Mengingatkan
150532,1,Imbas Corona Anies Tunda Gelaran Formula E di Jakarta
150533,1,Sri Mulyani Beberkan Dampak Virus Corona ke Masyarakat
150534,1,Virus Corona Semakin Parah New York Tetapkan Keadaan Darurat
150535,1,6 Jurus Telkomsel Tangkal Virus Corona di Lingkungan Kerja
150536,1,Virus Corona Tak Berakhir dalam Waktu Dekat? Begini Penjelasan Ilmuwan Hong Kong
150537,1,Kondisi Dua Kasus Positif Virus Corona di Indonesia Fisik Membaik tapi Psikologis Terusik
150538,1,Curahan Hati Warga Perumahan Pasien Virus Corona Sebut Acara TV Bohongi Masyarakat
150539,1,Kenapa Orang Terjangkit Virus Corona di Luar Negeri Bisa Masuk Indonesia?
150540,1,9 Alasan untuk Tetap Tenang di Tengah Wabah Virus Corona
150541,1,Jumlah Orang Terpapar Virus Corona di Malaysia Bertambah 28 Orang
150542,1,Pasien 08 Kasus Virus Corona di Indonesia Sudah Tak Pakai Ventilator
150543,1,5 Dampak Virus Corona ke Ekonomi Indonesia
150544,1,2 Pasien Baru Positif Corona Dirawat di RSPI Sulianti Saroso
150545,1,Kapan Virus Corona Akan Berakhir?
150546,1,Positif Virus Corona Pria di Jepang Malah Jalan-Jalan ke Bar
150547,1,Ditutup Sementara Akibat Virus Corona Ini 6 Potret Kakbah Tampak Sepi
150548,1,Ada Virus Corona di Washington DC Ini Reaksi Donald Trump
150549,1,Kemenkes: Total 11 Pasien Suspect Corona di Indonesia
150550,1,Sektor Logistik dan Perdagangan Paling Kena Dampak Virus Corona
150551,1,Satu Orang Suspect Corona di Bandung Terkait dengan Pasien Kasus 1
150552,1,54 Pasien dalam Pengawasan Virus Corona di Jakarta Dipulangkan
150553,1,Top 3: Gejala Virus Corona yang Tak Boleh Diabaikan
150554,1,Kemenkes: Ada 4 Orang Diduga Kuat Positif Corona
150555,1,Kasus Pertama Virus Corona di Indonesia Jadi Sorotan Dunia
150556,1,2 Pasien Baru Positif Corona?Terkait 2 Kasus Sebelumnya
150557,1,Kronologi Pengungkapan 2 Pasien Baru Positif Corona
150558,1,Kenali Ciri-ciri Gejala Virus Corona
150559,1,Kronologi Pasien Suspect Corona Asal Bekasi Meninggal Dunia di Cianjur
150560,1,1 Lagi WNI Positif Virus Corona di Singapura
150561,1,8 Wilayah yang Mengonfirmasi Kasus Kematian Pasien Akibat Wabah Corona
150562,1,5 1 Sosok Li Wenliang Dokter yang Peringatkan Adanya Virus Corona Pertama Kali
150563,1,Jumlah Kematian Akibat Virus Corona di Italia Bertambah 41 Orang
150564,1,Wabah Corona Lahirkan Tren Baru Belanja di Hong Kong
150565,1,Bupati: Bekasi Masih Bebas Corona
150566,1,BRI Investigasi Dugaan Karyawan Huawei yang Terjangkit Virus Corona di Gedung BRI 2
150567,1,Dinkes Madiun Pantau 22 Warga yang Kembali dari Negara Terdapat Positif Corona
150568,1,WNI Diimbau Tak Bepergian ke Negara yang Terjangkit Virus Corona
150569,1,Jangan Abai Perhatikan Gejala Ini untuk Lindungi Dirimu dari Virus Corona
150570,1,Mereka yang Diduga Terinfeksi Virus Corona di Indonesia Wisatawan hingga Pramugari
150571,1,Kabar Nahkoda Kapal Virginia di Tanjung Priok Terindikasi Virus Corona Hoaks
150572,1,Destinasi Wisata di Bali Kena Dampak Wabah Virus Corona
150573,1,Penjelasan Huawei soal Karyawan di Gedung BRI 2 Jakarta Terinfeksi Virus Corona
150574,1,Instruksi Jokowi Demi Tangkal Dampak Virus Corona ke Ekonomi
150575,1,Warga Tiongkok Pakai Dua Aplikasi Ini untuk Hindari Virus Corona
150576,1,11 Wilayah Diisolasi Akibat Corona Italia Masih Aman untuk Didatangi?
150577,1,Berapa Besar Dampak Virus Corona ke Ekonomi Indonesia?
150578,0,Mahfud Md Kembali Tegaskan Tidak Ada Virus Corona di Indonesia
150579,1,Wali Kota Depok: 50 Orang Lebih Terindikasi Virus Corona
150580,0,Ini 3 Alasan Virus Corona Belum Masuk ke Indonesia
150581,1,Facebook Cekal Iklan 'Obat' Virus Corona
150582,1,Jackie Chan Dikabarkan Terkena Virus Corona Ini 7 Potret Terbarunya
150583,1,Korban Tewas Akibat Virus Corona di China Tembus 1.016 Orang
150584,1,11 Wilayah di Italia Diisolasi Gara-Gara Corona
150585,1,Dampak Virus Corona Indonesia Setop Pengiriman Tenaga Kerja ke 3 Negara
150586,1,Antisipasi Penyebaran Virus Corona Perusahaan Harus Lakukan Hal Ini
150587,1,WHO Nyatakan Darurat Virus Corona Indonesia Belum Ada Suspect Positif
150588,1,Kasus Pertama Virus Corona Teridentifikasi di Kanada
150589,1,Belum Ada Kasus Virus Corona di Indonesia Iklim Berpengaruh?
150590,1,Status Oranye Corona WNI Ramai-ramai Batalkan Perjalanan ke Singapura
150591,1,Pemerintah Pantau Dampak Virus Corona ke Perdagangan
150592,1,Deretan Produk dan Perusahaan Global yang Terpukul Virus Corona
150593,1,Korban Tewas Akibat Virus Corona Terbaru di China Bertambah Jadi 56
150594,1,5 Potret Unik Warga China Lindungi Diri dari Virus Corona
150595,1,Pasien Virus Corona Tanpa Gejala Mulai Bermunculan
150596,1,Antisipasi Virus Corona Pemerintah Siapkan 100 Rumah Sakit Rujukan
150597,1,Korban Tewas Virus Corona di China Bertambah Jadi 304 322 Dinyatakan Sembuh
150598,1,Daftar Penyebaran Virus Corona Wuhan di 25 Negara Korban Meninggal hingga 259 Orang
150599,1,Kota Daegu di Korea Selatan bak Kota Hantu Gara-Gara Corona
150600,1,Jurus Jitu China Sembuhkan 632 Pasien Virus Corona
150601,1,Saham Starbucks dan McDonald's Rontok Gara-gara Virus Corona
150602,1,Apa yang Perlu Diketahui Wisatawan soal Virus Corona?
150603,1,Korban Meninggal Akibat Virus Corona Wuhan Bertambah Jadi 25 Orang
150604,1,Real Madrid Gelar Aksi Simpatik untuk Penderita Virus Corona di China
150605,1,Batik Air Bantah 1 Penumpang Rute Balikpapan-Jakarta Terjangkit Virus Corona
150606,1,9 Anggota Keluarga di Hong Kong Terinfeksi Virus Corona Usai Makan Hotpot
150607,1,Ahli Harvard Sebut Corona Sudah Masuk Indonesia Ini Kata Kemenkes
150608,1,Wartawan Berprestasi Didakwa Sebar Berita Bohong Terkait Virus Corona
150609,1,3 Daerah di Papua Barat yang Berisiko Jadi Pintu Masuk Virus Corona
150610,1,Satu Pemain Liga Italia Positif Terkena Virus Corona
150611,1,Harga Emas Melonjak ke Level Tertinggi Dipicu Meningkatnya Korban Virus Corona
150612,1,Daftar 60 Hoaks tentang Virus Corona Temuan Kemkominfo
150613,1,Gara-Gara Corona 2 Negara Ini Terancam Kena Resesi
150614,1,Geger 6 WNI dari Singapura yang Diduga Terpapar Corona
150615,1,Efek Virus Corona Harga Bawang Putih Meroket hingga Rp 60 Ribu per Kg
150616,1,Wabah Virus Corona Garuda Indonesia Setop Penerbangan dari dan ke China
150617,1,Di Tengah Wabah Virus Corona Warga Palestina Galang Solidaritas untuk China
150618,1,Turis Tiongkok dan Meksiko di Bali Diduga Terjangkit Virus Corona
150619,1,Top 3: Aturan Baru Penanganan Jasad Korban Virus Corona
150620,1,1 Member Jadi Suspect Corona F45 Senopati North Tetap Ramai Pengunjung
150621,0,Bali Ibarat Kota Hantu Gara-Gara Corona?
150622,0,Foto Satelit Wuhan Merah Diduga karena Aktivitas Kremasi Pasien Corona
150623,1,Makin Ganas! Dalam Sehari 4 Negara Baru Laporkan Kena Corona
150624,1,Dunia Darurat COVID-19! Ini 39 Negara di Mana Corona Menyebar
150625,1,Corona Bikin Kocar-Kacir
150626,1,Corona Tambah Ngeri Rupiah Lanjut Melemah Lagi
150627,1,Kala Perekonomian No.1 Dunia Bersiap Menghadapi Wabah Corona
150628,1,Karena Corona di China Negara-negara Ini Terancam Resesi
150629,1,Kala Perekonomian No.1 Dunia Bersiap Menghadapi Wabah Corona
150630,1,Bukan XI Jinping Kali Ini Shinzo Abe 'Hilang' karena Corona?
150631,1,Duh! Pejabat Iran Ngaku Terinfeksi Corona
150632,1,Corona Bikin Cemas Bursa Global IHSG Masih Rentan Hari Ini
150633,1,Italia Nyatakan Darurat Corona Kurs Euro Melempem
150634,1,3 Negara di Luar China Berjuang Lawan Darurat Corona
150635,1,RI Tak Mau Terseret Lebih dalam Gegara China Tersengat Corona
150636,1,Makin Ganas! Virus Corona 'Jangkiti' Bursa Dunia
150637,1,Simak! 54 Hoaks Corona yang Bergentayangan di Ponsel Kamu
150638,1,Gegara Corona Jokowi keluarkan 4 Stimulus Selamatkan Ekonomi
150639,1,Virus Corona Semakin Menjadi Minat Lelang SBN Masih Tinggi
150640,1,Corona Menyerang Sell Off Bursa Dunia Capai Rp 21.000 T
150641,1,Ancaman Pandemi Virus Corona
150642,1,5 Negara Ini Darurat Corona Awas Ekonomi RI Kena Dampaknya!
150643,1,Ini Daftar Insentif Pemerintah Untuk Hadapi Dampak Corona
150644,1,Sri Mulyani Obral Insentif Demi Halau Efek Buruk Virus Corona
150645,1,Bunuh 7 Juta Orang Setahun Polusi Lebih Bahaya dari Corona?
150646,1,Catat! Ini Sederet Jurus Jokowi Cegah Efek Buruk Virus Corona
150647,1,Perangi Corona Trump Minta Kongres Cairkan Rp 35 T
150648,1,Indonesia Tak Kebal Virus Corona
150649,1,Wabah Corona Fitch Tegaskan 4 Negara Ini Terdampak Langsung
150650,1,Meski Ada Corona RI Kebanjiran Modal Asing US$ 490 Juta
150651,1,Bukan Nuklir Iran Heboh karena Corona yang Tewaskan 15 Orang
150652,1,Iran Kecam AS karena Corona Ada Apa?
150653,1,Corona Mengganas di Korsel Satu Tentara AS Tertular
150654,1,Gegara Corona Airlangga Klaim Ekspor RI Malah Melonjak
150655,1,AS Waspada Corona Harga Emas Mulai 'Ngegas' Lagi
150656,1,Ada Aliran Sesat di Balik Mewabahnya Corona di Korsel?
150657,1,Jamu Racikan RI Malaysia & Thailand Agar Kebal Corona
150658,1,Ini Jurus BI Jaga Rupiah Untuk Mengatasi Dampak Virus Corona
150659,1,Corona 'Menggila' Olimpiade Tokyo Terancam Batal
150660,1,Alert! San Francisco Umumkan 'Darurat' Corona
150661,1,Terdampak Corona Tom Cruise Batal Syuting Mission Impossible
150662,1,Dunia Digempur Corona Sri Mulyani Ajak Turis Traveling ke RI
150663,1,Wamenkes Iran Kena Corona AS Curiga Korbannya Lebih Banyak
150664,1,Ada Gejolak Corona BI Pakai 3 Jurus Menstabilkan Rupiah
150665,1,Sri Mulyani: Atasi Imbas Corona Pemerintah Berikan Insentif
150666,1,966 Warga China Perpanjang Izin Tinggal di Bali Khawatir Terinfeksi Virus Corona
150667,1,Dampak Virus Corona Mulai Dirasakan Sektor Pariwisata DKI
150668,1,Pasien Diduga Corona di RSHS Pernah Pergi ke Thailand
150669,1,RSHS Kembali Tangani Pasien Diduga Corona
150670,1,Penyebab Kematian Suspect Corona RSUP Kariadi Masih Dicari
150671,1,Pembelian Paket Wisata Turun 30 Persen Akibat Wabah Corona
150672,1,Pasokan Galaxy S20 Terancam karena Corona
150673,1,Bahayanya Corona Sampai Bikin Apple Tunda Peluncuran iPhone Rp5 Jutaan
150674,1,Menhub: Corona tak Usik Proyek Kereta Cepat Jakarta-Bandung
150675,1,Raksasa Asuransi Teknologi China Dapat Berkah di Tengah Wabah Corona
150676,1,Maskapai Dunia akan Merugi Miliaran Dolar AS karena Corona
150677,1,Akibat Corona Bank Mandiri Selektif Salurkan Kredit
150678,1,The Fed: Kebijakan Moneter AS Sesuai Meski Ada Isu Corona
150679,1,Penyebaran Corona Untungkan Saham Emiten Produk Konsumsi
150680,1,Luhut Sebut Target Kereta Cepat Bisa Molor karena Corona
150681,1,G20 Pantau Dampak Wabah Corona Terhadap Pertumbuhan Global
150682,1,Bank Sentral Jepang Siap Ambil Tindakan Soal Dampak Corona
150683,1,Duh! Dalam Sehari 6 Negara Konfirmasi Lagi Kemasukan Corona
150684,1,Tak Cuma Corona Ini 5 'Setan' Ekonomi 2020!
150685,1,Heboh Pasien Suspect Virus Corona di Semarang Meninggal Why?
150686,1,Iran Catat Kematian Tertinggi Imbas Corona di Luar China
