id	judul	label
150434	Virus Corona, ATP Tunda Turnamen Tenis hingga 6 Pekan	FAKTA
150435	Jokowi: Karena Ada Corona, Saya Minum Jamu 3 Kali Sehari	FAKTA
150436	4 Pejabat Negara di Dunia Masuk Daftar Pasien Positif Virus Corona	FAKTA
150437	Foto Udara Lokasi di Dunia yang Sepi Akibat Virus Corona, Termasuk Kabah	FAKTA
150438	27 Orang Positif Corona di Indonesia, Ada 1 Kasus Local Transmission	FAKTA
150439	Jokowi: Virus Corona Tidak Mengenal Batas Negara	FAKTA
150440	Valentino Rossi Sumbang Dana untuk Berantas Virus Corona di Italia	FAKTA
150441	Berita Terkini Virus Corona di Indonesia	FAKTA
150442	Situs Pemantauan Virus Corona DKI Jakarta Sempat Kena Serangan DDoS, Warganet Murka	FAKTA
150443	China Tak Terima Virus Corona Disebut Berasal dari Negaranya	FAKTA
150444	Liga Inggris Bekukan Jadwal Hingga 3 April Akibat Virus Corona	FAKTA
150445	Redam Dampak Corona, Pemerintah Buka Opsi Bebaskan Iuran BPJS Ketenagakerjaan	FAKTA
150446	Tangkis Penyebaran Virus Corona, Samsung Buka Layanan Gratis Bersih-Bersih Smartphone	FAKTA
150447	Marak Virus Corona, GrabFood Hapus Menu Daging Ular di Daftar Pesanan	FAKTA
150448	Waspada Virus Corona, Sekolah Indonesia Kuala Lumpur Terapkan Pengecekan Suhu	FAKTA
150449	Kompetisi IBL 2020 Dihentikan karena Virus Corona	FAKTA
150450	Maldives Bangun Resor Mewah untuk Karantina Pasien Corona	FAKTA
150451	Sri Mulyani Tambah Anggaran Kemenkes Rp 1 Triliun untuk Tangani Virus Corona	FAKTA
150452	IHSG Tumbang, Jokowi Sebut Corona Turut Guncang Pasar Keuangan Global	FAKTA
150453	Antisipasi Corona, Sekolah Pelita Harapan Liburkan Siswa hingga 6 April	FAKTA
150454	Soal Penanganan Virus Corona, Kemenpora Serahkan ke Cabor Masing-masing	FAKTA
150455	Istana Keluarkan 5 Protokol Utama Penanganan Virus Corona	FAKTA
150456	Begini Kondisi 7 Pasien Baru Positif Corona	FAKTA
150457	Awak Kabin Cathay Pacific Positif Corona Usai Kembali dari Madrid	FAKTA
150458	Wabah Virus Corona Meluas, Formula E Tangguhkan Balapan Hingga Juni	FAKTA
150459	Stok iPad Turun Drastis Gara-Gara Virus Corona	FAKTA
150460	Rugani Positif Virus Corona, Inter Milan Isolasi Pemain dan Tunda Laga	FAKTA
150461	6 Gambaran Kondisi Ekonomi Global Amburadul Terimbas Wabah Virus Corona	FAKTA
150462	Imbauan Pemerintah Saat 1 Kasus Positif Virus Corona Diketahui Penularan Lokal	FAKTA
150463	Cegah Penyebaran Virus Corona Baru, Pemerintah Sediakan Dua Pintu Berbeda di Bandara Soetta	FAKTA
150464	Pemain Tunjukkan Gejala Terjangkit Virus Corona, Everton Dikarantina	FAKTA
150465	Top 3 News: Bertambah Jadi 27 Orang, 5 Pasien Positif Corona Didapat dari Luar Negeri	FAKTA
150466	Bukan China, Biang Virus Wuhan dalam Novel Peramal Wabah Corona Ternyata...	FAKTA
150467	Mendagri Australia Peter Dutton Akui Positif Virus Corona COVID-19	FAKTA
150468	Starting XI Terbaik Tim Serie A Musim Ini di Tengah Pandemi Corona	FAKTA
150469	RSUD Moewardi Isolasi Dua Warga Solo, Terinfeksi Corona?	FAKTA
150470	Virus Corona Picu Arab Saudi Batalkan Perjalanan Internasional, Nasib Jemaah Haji?	FAKTA
150471	Cegah Virus Corona COVID-19, Hamas Isolasi Warga Palestina di Jalur Gaza	FAKTA
150472	Virus Corona Meluas, UEFA Resmi Batalkan Liga Champions dan Liga Europa Pekan Depan	FAKTA
150473	Ada Kepala Daerah Cari Panggung di Tengah Isu Corona, Siapa Dia?	FAKTA
150474	Sumber Corona Pasien Nomor 27 Misterius, Pemerintah Masih Telusuri	FAKTA
150474	Pasien Kabur dari RSUP karena Tak Dapat Bukti Positif Corona	HOAX
150474	Ada Malware Menyamar di Situs Peta Penyebaran Corona	HOAX
150474	Mahfud: RI Satu-satunya Negara Besar di Asia Tak Kena Corona	HOAX
150474	Gerak Cepat Tangkal Corona, Pemerintah: Masa Nanti Idul Fitri Salaman Pakai Kaki?	HOAX
150474	Mahfud Md Kembali Tegaskan Tidak Ada Virus Corona di Indonesia	HOAX
150474	Ini 3 Alasan Virus Corona Belum Masuk ke Indonesia	HOAX
150474	Bali Ibarat Kota Hantu Gara-Gara Corona?	HOAX
150474	Foto Satelit Wuhan Merah, Diduga karena Aktivitas Kremasi Pasien Corona	HOAX
150474	Mitos Terkait Corona yang Perlu Diwaspadai	HOAX
